genome,accession,all_accessions
SAMD00046732,"['BCTG01000060', 'BCTG01000055']","['NZ_BCTG00000000.1', 'NZ_BCTG01000107.1', 'NZ_BCTG01000106.1', 'NZ_BCTG01000105.1', 'NZ_BCTG01000104.1', 'NZ_BCTG01000103.1', 'NZ_BCTG01000102.1', 'NZ_BCTG01000101.1', 'NZ_BCTG01000100.1', 'NZ_BCTG01000099.1', 'NZ_BCTG01000098.1', 'NZ_BCTG01000097.1', 'NZ_BCTG01000096.1', 'NZ_BCTG01000095.1', 'NZ_BCTG01000094.1', 'NZ_BCTG01000093.1', 'NZ_BCTG01000092.1', 'NZ_BCTG01000091.1', 'NZ_BCTG01000090.1', 'NZ_BCTG01000089.1']"
SAMD00046484,['BCSM01000032'],"['NZ_BCSM00000000.1', 'NZ_BCSM01000036.1', 'NZ_BCSM01000035.1', 'NZ_BCSM01000034.1', 'NZ_BCSM01000033.1', 'NZ_BCSM01000032.1', 'NZ_BCSM01000031.1', 'NZ_BCSM01000030.1', 'NZ_BCSM01000029.1', 'NZ_BCSM01000028.1', 'NZ_BCSM01000027.1', 'NZ_BCSM01000026.1', 'NZ_BCSM01000025.1', 'NZ_BCSM01000024.1', 'NZ_BCSM01000023.1', 'NZ_BCSM01000022.1', 'NZ_BCSM01000021.1', 'NZ_BCSM01000020.1', 'NZ_BCSM01000019.1', 'NZ_BCSM01000018.1']"
SAMD00046485,['BCSN01000017'],"['NZ_BCSN00000000.1', 'NZ_BCSN01000116.1', 'NZ_BCSN01000115.1', 'NZ_BCSN01000113.1', 'NZ_BCSN01000112.1', 'NZ_BCSN01000111.1', 'NZ_BCSN01000109.1', 'NZ_BCSN01000108.1', 'NZ_BCSN01000107.1', 'NZ_BCSN01000106.1', 'NZ_BCSN01000105.1', 'NZ_BCSN01000104.1', 'NZ_BCSN01000103.1', 'NZ_BCSN01000102.1', 'NZ_BCSN01000101.1', 'NZ_BCSN01000100.1', 'NZ_BCSN01000099.1', 'NZ_BCSN01000098.1', 'NZ_BCSN01000097.1', 'NZ_BCSN01000096.1']"
SAMD00046738,"['BCYR01000007', 'BCYR01000007']","['NZ_BCYR00000000.1', 'NZ_BCYR01000035.1', 'NZ_BCYR01000034.1', 'NZ_BCYR01000033.1', 'NZ_BCYR01000032.1', 'NZ_BCYR01000031.1', 'NZ_BCYR01000030.1', 'NZ_BCYR01000029.1', 'NZ_BCYR01000028.1', 'NZ_BCYR01000027.1', 'NZ_BCYR01000026.1', 'NZ_BCYR01000025.1', 'NZ_BCYR01000024.1', 'NZ_BCYR01000023.1', 'NZ_BCYR01000022.1', 'NZ_BCYR01000021.1', 'NZ_BCYR01000020.1', 'NZ_BCYR01000019.1', 'NZ_BCYR01000018.1', 'NZ_BCYR01000017.1']"
SAMD00046728,"['BCTI01000049', 'BCTI01000071', 'BCTI01000071', 'BCTI01000049', 'BCTI01000071']","['NZ_BCTI00000000.1', 'NZ_BCTI01000149.1', 'NZ_BCTI01000148.1', 'NZ_BCTI01000147.1', 'NZ_BCTI01000146.1', 'NZ_BCTI01000145.1', 'NZ_BCTI01000144.1', 'NZ_BCTI01000143.1', 'NZ_BCTI01000142.1', 'NZ_BCTI01000141.1', 'NZ_BCTI01000140.1', 'NZ_BCTI01000139.1', 'NZ_BCTI01000138.1', 'NZ_BCTI01000137.1', 'NZ_BCTI01000136.1', 'NZ_BCTI01000135.1', 'NZ_BCTI01000134.1', 'NZ_BCTI01000133.1', 'NZ_BCTI01000132.1', 'NZ_BCTI01000131.1']"
SAMD00047221,"['BCWQ01000024', 'BCWQ01000024']","['NZ_BCWQ00000000.1', 'NZ_BCWQ01000043.1', 'NZ_BCWQ01000042.1', 'NZ_BCWQ01000041.1', 'NZ_BCWQ01000040.1', 'NZ_BCWQ01000039.1', 'NZ_BCWQ01000038.1', 'NZ_BCWQ01000037.1', 'NZ_BCWQ01000036.1', 'NZ_BCWQ01000035.1', 'NZ_BCWQ01000034.1', 'NZ_BCWQ01000033.1', 'NZ_BCWQ01000032.1', 'NZ_BCWQ01000031.1', 'NZ_BCWQ01000030.1', 'NZ_BCWQ01000029.1', 'NZ_BCWQ01000028.1', 'NZ_BCWQ01000027.1', 'NZ_BCWQ01000026.1', 'NZ_BCWQ01000025.1']"
SAMN02470788,"['KI440802', 'KI440780', 'KI440792']","['NZ_KI440835.1', 'NZ_KI440834.1', 'NZ_KI440833.1', 'NZ_KI440832.1', 'NZ_KI440831.1', 'NZ_KI440830.1', 'NZ_KI440829.1', 'NZ_KI440828.1', 'NZ_KI440827.1', 'NZ_KI440826.1', 'NZ_KI440825.1', 'NZ_KI440824.1', 'NZ_KI440823.1', 'NZ_KI440822.1', 'NZ_KI440821.1', 'NZ_KI440820.1', 'NZ_KI440819.1', 'NZ_KI440818.1', 'NZ_KI440817.1', 'NZ_KI440816.1']"
SAMN02597371,"['KI912313', 'KI912313']","['NZ_AZHL00000000.1', 'NZ_KI912376.1', 'NZ_KI912375.1', 'NZ_KI912374.1', 'NZ_KI912373.1', 'NZ_KI912372.1', 'NZ_KI912371.1', 'NZ_KI912370.1', 'NZ_KI912369.1', 'NZ_KI912368.1', 'NZ_KI912367.1', 'NZ_KI912366.1', 'NZ_KI912365.1', 'NZ_KI912364.1', 'NZ_KI912363.1', 'NZ_KI912362.1', 'NZ_KI912361.1', 'NZ_KI912360.1', 'NZ_KI912359.1', 'NZ_KI912358.1']"
SAMN02862993,['JNVZ01000014'],"['NZ_JNVZ00000000.1', 'NZ_JNVZ01000020.1', 'NZ_JNVZ01000019.1', 'NZ_JNVZ01000018.1', 'NZ_JNVZ01000017.1', 'NZ_JNVZ01000016.1', 'NZ_JNVZ01000015.1', 'NZ_JNVZ01000014.1', 'NZ_JNVZ01000013.1', 'NZ_JNVZ01000012.1', 'NZ_JNVZ01000011.1', 'NZ_JNVZ01000009.1', 'NZ_JNVZ01000008.1', 'NZ_JNVZ01000007.1', 'NZ_JNVZ01000006.1', 'NZ_JNVZ01000005.1', 'NZ_JNVZ01000004.1', 'NZ_JNVZ01000003.1', 'NZ_JNVZ01000002.1', 'NZ_JNVZ01000010.1']"
SAMN02216979,['AYTZ01000137'],"['NZ_AYTZ00000000.1', 'NZ_AYTZ01000138.1', 'NZ_AYTZ01000137.1', 'NZ_AYTZ01000136.1', 'NZ_AYTZ01000135.1', 'NZ_AYTZ01000134.1', 'NZ_AYTZ01000133.1', 'NZ_AYTZ01000131.1', 'NZ_AYTZ01000129.1', 'NZ_AYTZ01000128.1', 'NZ_AYTZ01000127.1', 'NZ_AYTZ01000126.1', 'NZ_AYTZ01000125.1', 'NZ_AYTZ01000124.1', 'NZ_AYTZ01000123.1', 'NZ_AYTZ01000122.1', 'NZ_AYTZ01000121.1', 'NZ_AYTZ01000120.1', 'NZ_AYTZ01000119.1', 'NZ_AYTZ01000118.1']"
SAMN02737380,"['JMGP01000018', 'JMGP01000001']","['JMGP00000000.1', 'JMGP01000020.1', 'JMGP01000001.1', 'CM003134.1', 'JMGP01000004.1', 'JMGP01000002.1', 'JMGP01000003.1', 'JMGP01000005.1', 'JMGP01000006.1', 'JMGP01000007.1', 'JMGP01000008.1', 'JMGP01000009.1', 'JMGP01000010.1', 'JMGP01000011.1', 'JMGP01000012.1', 'JMGP01000013.1', 'JMGP01000014.1', 'JMGP01000015.1', 'JMGP01000016.1', 'JMGP01000017.1']"
SAMN02841216,"['JNLR01000002', 'JNLR01000003', 'JNLR01000001', 'JNLR01000002', 'JNLR01000001']","['NZ_JNLR00000000.1', 'NZ_JNLR01000006.1', 'NZ_JNLR01000005.1', 'NZ_JNLR01000004.1', 'NZ_JNLR01000003.1', 'NZ_JNLR01000002.1', 'NZ_JNLR01000001.1', 'JNLR00000000.1', 'JNLR01000001.1', 'JNLR01000002.1', 'JNLR01000003.1', 'JNLR01000004.1', 'JNLR01000005.1', 'JNLR01000006.1']"
SAMN04634024,"['NGMQ01000004', 'NGMQ01000001', 'NGMQ01000004', 'NGMQ01000001', 'NGMQ01000003']","['NZ_NGMQ00000000.1', 'NZ_NGMQ01000007.1', 'NZ_NGMQ01000006.1', 'NZ_NGMQ01000005.1', 'NZ_NGMQ01000004.1', 'NZ_NGMQ01000003.1', 'NZ_NGMQ01000002.1', 'NZ_NGMQ01000001.1', 'NGMQ00000000.1', 'NGMQ01000001.1', 'NGMQ01000002.1', 'NGMQ01000003.1', 'NGMQ01000004.1', 'NGMQ01000005.1', 'NGMQ01000006.1', 'NGMQ01000007.1']"
SAMN05735027,"['MJED01000018', 'MJED01000021', 'MJED01000018']","['NZ_MJED00000000.1', 'NZ_MJED01000041.1', 'NZ_MJED01000040.1', 'NZ_MJED01000039.1', 'NZ_MJED01000038.1', 'NZ_MJED01000037.1', 'NZ_MJED01000036.1', 'NZ_MJED01000035.1', 'NZ_MJED01000034.1', 'NZ_MJED01000033.1', 'NZ_MJED01000032.1', 'NZ_MJED01000031.1', 'NZ_MJED01000030.1', 'NZ_MJED01000029.1', 'NZ_MJED01000028.1', 'NZ_MJED01000027.1', 'NZ_MJED01000026.1', 'NZ_MJED01000025.1', 'NZ_MJED01000024.1', 'NZ_MJED01000023.1']"
SAMD00061060,['AP013072'],"['NZ_AP013072.1', 'AP013072.1']"
SAMN02469853,"['AXZL01000064', 'AXZL01000057', 'AXZL01000064']","['NZ_AXZL00000000.1', 'NZ_AXZL01000077.1', 'NZ_AXZL01000076.1', 'NZ_AXZL01000073.1', 'NZ_AXZL01000072.1', 'NZ_AXZL01000071.1', 'NZ_AXZL01000070.1', 'NZ_AXZL01000069.1', 'NZ_AXZL01000068.1', 'NZ_AXZL01000067.1', 'NZ_AXZL01000066.1', 'NZ_AXZL01000065.1', 'NZ_AXZL01000064.1', 'NZ_AXZL01000063.1', 'NZ_AXZL01000062.1', 'NZ_AXZL01000061.1', 'NZ_AXZL01000060.1', 'NZ_AXZL01000059.1', 'NZ_AXZL01000058.1', 'NZ_AXZL01000057.1']"
SAMN05735011,"['MJDO01000010', 'MJDO01000010']","['NZ_MJDO00000000.1', 'NZ_MJDO01000029.1', 'NZ_MJDO01000028.1', 'NZ_MJDO01000027.1', 'NZ_MJDO01000026.1', 'NZ_MJDO01000025.1', 'NZ_MJDO01000024.1', 'NZ_MJDO01000023.1', 'NZ_MJDO01000022.1', 'NZ_MJDO01000021.1', 'NZ_MJDO01000020.1', 'NZ_MJDO01000019.1', 'NZ_MJDO01000018.1', 'NZ_MJDO01000017.1', 'NZ_MJDO01000016.1', 'NZ_MJDO01000015.1', 'NZ_MJDO01000014.1', 'NZ_MJDO01000013.1', 'NZ_MJDO01000012.1', 'NZ_MJDO01000011.1']"
SAMN05735014,"['MJDQ01000010', 'MJDQ01000010']","['NZ_MJDQ00000000.1', 'NZ_MJDQ01000028.1', 'NZ_MJDQ01000027.1', 'NZ_MJDQ01000026.1', 'NZ_MJDQ01000025.1', 'NZ_MJDQ01000024.1', 'NZ_MJDQ01000023.1', 'NZ_MJDQ01000022.1', 'NZ_MJDQ01000021.1', 'NZ_MJDQ01000020.1', 'NZ_MJDQ01000019.1', 'NZ_MJDQ01000018.1', 'NZ_MJDQ01000017.1', 'NZ_MJDQ01000016.1', 'NZ_MJDQ01000015.1', 'NZ_MJDQ01000014.1', 'NZ_MJDQ01000013.1', 'NZ_MJDQ01000012.1', 'NZ_MJDQ01000011.1', 'NZ_MJDQ01000010.1']"
SAMN05735015,['MJDR01000005'],"['NZ_MJDR00000000.1', 'NZ_MJDR01000028.1', 'NZ_MJDR01000027.1', 'NZ_MJDR01000026.1', 'NZ_MJDR01000025.1', 'NZ_MJDR01000024.1', 'NZ_MJDR01000023.1', 'NZ_MJDR01000022.1', 'NZ_MJDR01000021.1', 'NZ_MJDR01000020.1', 'NZ_MJDR01000019.1', 'NZ_MJDR01000018.1', 'NZ_MJDR01000017.1', 'NZ_MJDR01000016.1', 'NZ_MJDR01000015.1', 'NZ_MJDR01000014.1', 'NZ_MJDR01000013.1', 'NZ_MJDR01000012.1', 'NZ_MJDR01000011.1', 'NZ_MJDR01000010.1']"
SAMN05735016,['MJDS01000018'],"['NZ_MJDS00000000.1', 'NZ_MJDS01000062.1', 'NZ_MJDS01000061.1', 'NZ_MJDS01000060.1', 'NZ_MJDS01000059.1', 'NZ_MJDS01000058.1', 'NZ_MJDS01000057.1', 'NZ_MJDS01000056.1', 'NZ_MJDS01000055.1', 'NZ_MJDS01000054.1', 'NZ_MJDS01000053.1', 'NZ_MJDS01000052.1', 'NZ_MJDS01000051.1', 'NZ_MJDS01000050.1', 'NZ_MJDS01000049.1', 'NZ_MJDS01000048.1', 'NZ_MJDS01000047.1', 'NZ_MJDS01000046.1', 'NZ_MJDS01000045.1', 'NZ_MJDS01000044.1']"
SAMN04870318,"['LXER01000028', 'LXER01000028']","['NZ_LXER00000000.1', 'NZ_LXER01000088.1', 'NZ_LXER01000087.1', 'NZ_LXER01000085.1', 'NZ_LXER01000084.1', 'NZ_LXER01000082.1', 'NZ_LXER01000081.1', 'NZ_LXER01000080.1', 'NZ_LXER01000079.1', 'NZ_LXER01000078.1', 'NZ_LXER01000077.1', 'NZ_LXER01000076.1', 'NZ_LXER01000075.1', 'NZ_LXER01000074.1', 'NZ_LXER01000072.1', 'NZ_LXER01000071.1', 'NZ_LXER01000070.1', 'NZ_LXER01000069.1', 'NZ_LXER01000068.1', 'NZ_LXER01000067.1']"
SAMN04870320,"['LXEP01000002', 'LXEP01000080']","['NZ_LXEP00000000.1', 'NZ_LXEP01000133.1', 'NZ_LXEP01000132.1', 'NZ_LXEP01000131.1', 'NZ_LXEP01000130.1', 'NZ_LXEP01000129.1', 'NZ_LXEP01000128.1', 'NZ_LXEP01000127.1', 'NZ_LXEP01000126.1', 'NZ_LXEP01000125.1', 'NZ_LXEP01000124.1', 'NZ_LXEP01000123.1', 'NZ_LXEP01000122.1', 'NZ_LXEP01000121.1', 'NZ_LXEP01000120.1', 'NZ_LXEP01000119.1', 'NZ_LXEP01000118.1', 'NZ_LXEP01000117.1', 'NZ_LXEP01000115.1', 'NZ_LXEP01000114.1']"
SAMD00046898,"['BCZS01000001', 'BCZS01000001']","['NZ_BCZS00000000.1', 'NZ_BCZS01000104.1', 'NZ_BCZS01000103.1', 'NZ_BCZS01000102.1', 'NZ_BCZS01000100.1', 'NZ_BCZS01000099.1', 'NZ_BCZS01000098.1', 'NZ_BCZS01000097.1', 'NZ_BCZS01000096.1', 'NZ_BCZS01000095.1', 'NZ_BCZS01000094.1', 'NZ_BCZS01000093.1', 'NZ_BCZS01000092.1', 'NZ_BCZS01000091.1', 'NZ_BCZS01000090.1', 'NZ_BCZS01000089.1', 'NZ_BCZS01000088.1', 'NZ_BCZS01000087.1', 'NZ_BCZS01000086.1', 'NZ_BCZS01000085.1']"
SAMN04875425,['LXES01000051'],"['NZ_LXES00000000.1', 'NZ_LXES01000074.1', 'NZ_LXES01000073.1', 'NZ_LXES01000072.1', 'NZ_LXES01000071.1', 'NZ_LXES01000070.1', 'NZ_LXES01000069.1', 'NZ_LXES01000068.1', 'NZ_LXES01000067.1', 'NZ_LXES01000066.1', 'NZ_LXES01000065.1', 'NZ_LXES01000064.1', 'NZ_LXES01000063.1', 'NZ_LXES01000062.1', 'NZ_LXES01000061.1', 'NZ_LXES01000060.1', 'NZ_LXES01000059.1', 'NZ_LXES01000058.1', 'NZ_LXES01000057.1', 'NZ_LXES01000056.1']"
SAMN04875429,"['LXET01000053', 'LXET01000058']","['NZ_LXET00000000.1', 'NZ_LXET01000086.1', 'NZ_LXET01000085.1', 'NZ_LXET01000083.1', 'NZ_LXET01000082.1', 'NZ_LXET01000081.1', 'NZ_LXET01000080.1', 'NZ_LXET01000079.1', 'NZ_LXET01000077.1', 'NZ_LXET01000076.1', 'NZ_LXET01000075.1', 'NZ_LXET01000074.1', 'NZ_LXET01000073.1', 'NZ_LXET01000072.1', 'NZ_LXET01000071.1', 'NZ_LXET01000070.1', 'NZ_LXET01000069.1', 'NZ_LXET01000068.1', 'NZ_LXET01000067.1', 'NZ_LXET01000066.1']"
SAMN04875435,"['LXEX01000068', 'LXEX01000061', 'LXEX01000072', 'LXEX01000031', 'LXEX01000002', 'LXEX01000065', 'LXEX01000003', 'LXEX01000001', 'LXEX01000073', 'LXEX01000031', 'LXEX01000080', 'LXEX01000068', 'LXEX01000003', 'LXEX01000001', 'LXEX01000075', 'LXEX01000074']","['NZ_LXEX00000000.1', 'NZ_LXEX01000238.1', 'NZ_LXEX01000236.1', 'NZ_LXEX01000235.1', 'NZ_LXEX01000234.1', 'NZ_LXEX01000233.1', 'NZ_LXEX01000231.1', 'NZ_LXEX01000230.1', 'NZ_LXEX01000229.1', 'NZ_LXEX01000228.1', 'NZ_LXEX01000226.1', 'NZ_LXEX01000225.1', 'NZ_LXEX01000224.1', 'NZ_LXEX01000223.1', 'NZ_LXEX01000222.1', 'NZ_LXEX01000221.1', 'NZ_LXEX01000219.1', 'NZ_LXEX01000218.1', 'NZ_LXEX01000217.1', 'NZ_LXEX01000216.1']"
SAMN04875434,['LXEW01000031'],"['NZ_LXEW00000000.1', 'NZ_LXEW01000074.1', 'NZ_LXEW01000073.1', 'NZ_LXEW01000070.1', 'NZ_LXEW01000068.1', 'NZ_LXEW01000067.1', 'NZ_LXEW01000066.1', 'NZ_LXEW01000064.1', 'NZ_LXEW01000062.1', 'NZ_LXEW01000061.1', 'NZ_LXEW01000060.1', 'NZ_LXEW01000059.1', 'NZ_LXEW01000058.1', 'NZ_LXEW01000057.1', 'NZ_LXEW01000056.1', 'NZ_LXEW01000055.1', 'NZ_LXEW01000054.1', 'NZ_LXEW01000053.1', 'NZ_LXEW01000052.1', 'NZ_LXEW01000051.1']"
PRJNA211401,"['CP007014', 'CP007014']",['Supplied+id+parameter+is+empty.']
SAMN02471553,['AVEE02000095'],"['NZ_AVEE00000000.2', 'NZ_AVEE02000261.1', 'NZ_AVEE02000260.1', 'NZ_AVEE02000259.1', 'NZ_AVEE02000258.1', 'NZ_AVEE02000257.1', 'NZ_AVEE02000256.1', 'NZ_AVEE02000255.1', 'NZ_AVEE02000254.1', 'NZ_AVEE02000253.1', 'NZ_AVEE02000252.1', 'NZ_AVEE02000251.1', 'NZ_AVEE02000250.1', 'NZ_AVEE02000249.1', 'NZ_AVEE02000248.1', 'NZ_AVEE02000247.1', 'NZ_AVEE02000246.1', 'NZ_AVEE02000245.1', 'NZ_AVEE02000244.1', 'NZ_AVEE02000243.1']"
SAMN02982984,['FMTF01000033'],"['NZ_FMTF00000000.1', 'NZ_FMTF01000051.1', 'NZ_FMTF01000050.1', 'NZ_FMTF01000049.1', 'NZ_FMTF01000048.1', 'NZ_FMTF01000047.1', 'NZ_FMTF01000046.1', 'NZ_FMTF01000045.1', 'NZ_FMTF01000044.1', 'NZ_FMTF01000043.1', 'NZ_FMTF01000042.1', 'NZ_FMTF01000041.1', 'NZ_FMTF01000040.1', 'NZ_FMTF01000039.1', 'NZ_FMTF01000038.1', 'NZ_FMTF01000037.1', 'NZ_FMTF01000036.1', 'NZ_FMTF01000035.1', 'NZ_FMTF01000034.1', 'NZ_FMTF01000033.1']"
SAMN04966301,"['LXWJ01000004', 'LXWJ01000008']","['LXWJ00000000.1', 'LXWJ01000001.1', 'LXWJ01000002.1', 'LXWJ01000003.1', 'LXWJ01000004.1', 'LXWJ01000005.1', 'LXWJ01000006.1', 'LXWJ01000007.1', 'LXWJ01000008.1', 'LXWJ01000009.1', 'LXWJ01000010.1', 'LXWJ01000011.1', 'LXWJ01000012.1', 'LXWJ01000013.1', 'LXWJ01000014.1', 'LXWJ01000015.1', 'LXWJ01000016.1', 'LXWJ01000017.1', 'LXWJ01000018.1', 'LXWJ01000019.1']"
SAMN06837735,"['NEQN01000004', 'NEQN01000004']","['NZ_NEQN00000000.1', 'NZ_NEQN01000025.1', 'NZ_NEQN01000023.1', 'NZ_NEQN01000022.1', 'NZ_NEQN01000021.1', 'NZ_NEQN01000020.1', 'NZ_NEQN01000019.1', 'NZ_NEQN01000018.1', 'NZ_NEQN01000017.1', 'NZ_NEQN01000016.1', 'NZ_NEQN01000015.1', 'NZ_NEQN01000014.1', 'NZ_NEQN01000013.1', 'NZ_NEQN01000012.1', 'NZ_NEQN01000011.1', 'NZ_NEQN01000010.1', 'NZ_NEQN01000009.1', 'NZ_NEQN01000008.1', 'NZ_NEQN01000007.1', 'NZ_NEQN01000006.1']"
SAMN02645658,['CM002673'],"['NZ_AVDL00000000.1', 'NZ_CM002674.1', 'NZ_CM002673.1', 'NZ_AVDL01000108.1', 'NZ_AVDL01000107.1', 'NZ_AVDL01000106.1', 'NZ_AVDL01000105.1', 'NZ_AVDL01000104.1', 'NZ_AVDL01000103.1', 'NZ_AVDL01000102.1', 'NZ_AVDL01000101.1', 'NZ_AVDL01000100.1', 'NZ_AVDL01000099.1', 'AVDL00000000.1', 'CM002673.1', 'CM002674.1', 'AVDL01000001.1', 'AVDL01000002.1', 'AVDL01000003.1', 'AVDL01000004.1']"
SAMN02469686,"['AVSS01000036', 'AVSS01000036']","['NZ_AVSS00000000.1', 'NZ_AVSS01000040.1', 'NZ_AVSS01000039.1', 'NZ_AVSS01000038.1', 'NZ_AVSS01000037.1', 'NZ_AVSS01000036.1', 'NZ_AVSS01000035.1', 'NZ_AVSS01000034.1', 'NZ_AVSS01000033.1', 'NZ_AVSS01000032.1', 'NZ_AVSS01000031.1', 'NZ_AVSS01000030.1', 'NZ_AVSS01000028.1', 'NZ_AVSS01000027.1', 'NZ_AVSS01000026.1', 'NZ_AVSS01000025.1', 'NZ_AVSS01000024.1', 'NZ_AVSS01000023.1', 'NZ_AVSS01000022.1', 'NZ_AVSS01000021.1']"
SAMN04301589,['AUTB01000004'],"['AUTB00000000.1', 'AUTB01000001.1', 'AUTB01000002.1', 'AUTB01000003.1', 'AUTB01000004.1', 'AUTB01000005.1', 'AUTB01000006.1', 'AUTB01000007.1', 'AUTB01000008.1', 'AUTB01000009.1', 'AUTB01000010.1', 'AUTB01000011.1', 'AUTB01000012.1', 'AUTB01000013.1', 'AUTB01000014.1', 'AUTB01000015.1', 'AUTB01000016.1', 'AUTB01000017.1', 'AUTB01000018.1', 'AUTB01000019.1']"
SAMN02953047,"['JQIC01000010', 'JQIC01000010']","['NZ_JQIC00000000.1', 'NZ_JQIC01000016.1', 'NZ_JQIC01000015.1', 'NZ_JQIC01000014.1', 'NZ_JQIC01000013.1', 'NZ_JQIC01000012.1', 'NZ_JQIC01000011.1', 'NZ_JQIC01000010.1', 'NZ_JQIC01000009.1', 'NZ_JQIC01000008.1', 'NZ_JQIC01000007.1', 'NZ_JQIC01000006.1', 'NZ_JQIC01000005.1', 'NZ_JQIC01000004.1', 'NZ_JQIC01000003.1', 'NZ_JQIC01000002.1', 'NZ_JQIC01000001.1', 'JQIC00000000.1', 'JQIC01000001.1', 'JQIC01000002.1']"
SAMN03396976,['LAVX01000020'],"['LAVX00000000.1', 'LAVX01000001.1', 'LAVX01000002.1', 'LAVX01000003.1', 'LAVX01000004.1', 'LAVX01000005.1', 'LAVX01000006.1', 'LAVX01000007.1', 'LAVX01000008.1', 'LAVX01000009.1', 'LAVX01000010.1', 'LAVX01000011.1', 'LAVX01000012.1', 'LAVX01000013.1', 'LAVX01000014.1', 'LAVX01000015.1', 'LAVX01000016.1', 'LAVX01000017.1', 'LAVX01000018.1', 'LAVX01000019.1']"
SAMN03770945,['LITE01000213'],"['NZ_LITE00000000.1', 'NZ_LITE01000255.1', 'NZ_LITE01000254.1', 'NZ_LITE01000253.1', 'NZ_LITE01000252.1', 'NZ_LITE01000251.1', 'NZ_LITE01000250.1', 'NZ_LITE01000249.1', 'NZ_LITE01000248.1', 'NZ_LITE01000247.1', 'NZ_LITE01000246.1', 'NZ_LITE01000244.1', 'NZ_LITE01000243.1', 'NZ_LITE01000242.1', 'NZ_LITE01000241.1', 'NZ_LITE01000240.1', 'NZ_LITE01000239.1', 'NZ_LITE01000238.1', 'NZ_LITE01000237.1', 'NZ_LITE01000236.1']"
SAMN03770950,['LITG01000134'],"['NZ_LITG00000000.1', 'NZ_LITG01000156.1', 'NZ_LITG01000155.1', 'NZ_LITG01000154.1', 'NZ_LITG01000153.1', 'NZ_LITG01000151.1', 'NZ_LITG01000150.1', 'NZ_LITG01000149.1', 'NZ_LITG01000148.1', 'NZ_LITG01000147.1', 'NZ_LITG01000146.1', 'NZ_LITG01000145.1', 'NZ_LITG01000144.1', 'NZ_LITG01000143.1', 'NZ_LITG01000142.1', 'NZ_LITG01000141.1', 'NZ_LITG01000140.1', 'NZ_LITG01000139.1', 'NZ_LITG01000138.1', 'NZ_LITG01000137.1']"
SAMN04955245,['CP015901'],"['NZ_CP016741.2', 'NZ_CP016740.2', 'NZ_CP016739.2', 'NZ_CP016738.2', 'NZ_CP016737.2', 'NZ_CP015901.2', 'CP016741.2', 'CP016740.2', 'CP016739.2', 'CP016738.2', 'CP016737.2', 'CP015901.2']"
SAMN04955246,"['CP015909', 'CP015909', 'CP015909']","['NZ_CP122377.1', 'NZ_CP122376.1', 'NZ_CP122375.1', 'NZ_CP122374.1', 'NZ_CP122373.1', 'NZ_CP122372.1', 'NZ_CP015909.2', 'NZ_CP016729.2', 'NZ_CP016733.2', 'NZ_CP016731.2', 'NZ_CP016732.2', 'CP016733.2', 'CP016732.2', 'CP016731.2', 'CP016729.2', 'CP015909.2', 'CP122377.1', 'CP122376.1', 'CP122375.1', 'CP122374.1']"
SAMN02841213,['JNLP01000001'],"['NZ_JNLP00000000.1', 'NZ_JNLP01000001.1', 'JNLP00000000.1', 'JNLP01000001.1']"
SAMN03396773,"['LAVD01000036', 'LAVD01000034', 'LAVD01000035', 'LAVD01000036']","['LAVD00000000.1', 'LAVD01000001.1', 'LAVD01000002.1', 'LAVD01000003.1', 'LAVD01000004.1', 'LAVD01000005.1', 'LAVD01000006.1', 'LAVD01000007.1', 'LAVD01000008.1', 'LAVD01000009.1', 'LAVD01000010.1', 'LAVD01000011.1', 'LAVD01000012.1', 'LAVD01000013.1', 'LAVD01000014.1', 'LAVD01000015.1', 'LAVD01000016.1', 'LAVD01000017.1', 'LAVD01000018.1', 'LAVD01000019.1']"
SAMN04018792,['LKLC01000082'],"['NZ_LKLC00000000.1', 'NZ_LKLC01000171.1', 'NZ_LKLC01000170.1', 'NZ_LKLC01000169.1', 'NZ_LKLC01000168.1', 'NZ_LKLC01000167.1', 'NZ_LKLC01000166.1', 'NZ_LKLC01000165.1', 'NZ_LKLC01000164.1', 'NZ_LKLC01000163.1', 'NZ_LKLC01000162.1', 'NZ_LKLC01000161.1', 'NZ_LKLC01000160.1', 'NZ_LKLC01000159.1', 'NZ_LKLC01000158.1', 'NZ_LKLC01000157.1', 'NZ_LKLC01000156.1', 'NZ_LKLC01000155.1', 'NZ_LKLC01000154.1', 'NZ_LKLC01000153.1']"
SAMN04026651,['LKLV01000240'],"['NZ_LKLV00000000.1', 'NZ_LKLV01000264.1', 'NZ_LKLV01000263.1', 'NZ_LKLV01000262.1', 'NZ_LKLV01000261.1', 'NZ_LKLV01000260.1', 'NZ_LKLV01000259.1', 'NZ_LKLV01000258.1', 'NZ_LKLV01000257.1', 'NZ_LKLV01000256.1', 'NZ_LKLV01000255.1', 'NZ_LKLV01000254.1', 'NZ_LKLV01000253.1', 'NZ_LKLV01000252.1', 'NZ_LKLV01000251.1', 'NZ_LKLV01000250.1', 'NZ_LKLV01000249.1', 'NZ_LKLV01000248.1', 'NZ_LKLV01000247.1', 'NZ_LKLV01000246.1']"
