genome,accession,all_accessions
SAMN02472003,['AFYR01000027'],"['AFYR00000000.1', 'AFYR01000001.1', 'AFYR01000002.1', 'AFYR01000003.1', 'AFYR01000004.1', 'AFYR01000005.1', 'AFYR01000006.1', 'AFYR01000007.1', 'AFYR01000008.1', 'AFYR01000009.1', 'AFYR01000010.1', 'AFYR01000011.1', 'AFYR01000012.1', 'AFYR01000013.1', 'AFYR01000014.1', 'AFYR01000015.1', 'AFYR01000016.1', 'AFYR01000017.1', 'AFYR01000018.1', 'AFYR01000019.1']"
SAMN02472004,['AFYS01000096'],"['AFYS00000000.1', 'AFYS01000001.1', 'AFYS01000002.1', 'AFYS01000003.1', 'AFYS01000004.1', 'AFYS01000005.1', 'AFYS01000006.1', 'AFYS01000007.1', 'AFYS01000008.1', 'AFYS01000009.1', 'AFYS01000010.1', 'AFYS01000011.1', 'AFYS01000012.1', 'AFYS01000013.1', 'AFYS01000014.1', 'AFYS01000015.1', 'AFYS01000016.1', 'AFYS01000017.1', 'AFYS01000018.1', 'AFYS01000019.1']"
SAMD00026327,"['BBUP01000009', 'BBUP01000023', 'BBUP01000009', 'BBUP01000023']","['NZ_BBUP00000000.1', 'NZ_BBUP01000048.1', 'NZ_BBUP01000047.1', 'NZ_BBUP01000044.1', 'NZ_BBUP01000043.1', 'NZ_BBUP01000042.1', 'NZ_BBUP01000041.1', 'NZ_BBUP01000040.1', 'NZ_BBUP01000039.1', 'NZ_BBUP01000038.1', 'NZ_BBUP01000037.1', 'NZ_BBUP01000036.1', 'NZ_BBUP01000035.1', 'NZ_BBUP01000034.1', 'NZ_BBUP01000033.1', 'NZ_BBUP01000032.1', 'NZ_BBUP01000031.1', 'NZ_BBUP01000030.1', 'NZ_BBUP01000029.1', 'NZ_BBUP01000028.1']"
SAMN03295199,"['CP010799', 'CP010800', 'CP010800', 'CP010799', 'CP010800']","['NZ_CP010799.1', 'NZ_CP010801.1', 'NZ_CP010800.1', 'CP010801.1', 'CP010799.2', 'CP010800.1']"
SAMN03434877,"['CP011257', 'CP011257']","['NZ_CP011258.1', 'NZ_CP011257.1', 'CP011258.1', 'CP011257.1']"
SAMN02596827,"['JH791986', 'JH791986']","['JH791984.1', 'JH791985.1', 'JH791986.1', 'JH791987.1', 'JH791988.1', 'JH791989.1', 'JH791990.1', 'AHDP00000000.1', 'AHDP01000001.1', 'AHDP01000002.1', 'AHDP01000003.1', 'AHDP01000004.1', 'AHDP01000005.1', 'AHDP01000006.1', 'AHDP01000007.1', 'AHDP01000008.1', 'AHDP01000009.1', 'AHDP01000010.1', 'AHDP01000011.1', 'AHDP01000012.1']"
SAMN01087987,"['AMMJ01000122', 'AMMJ01000122', 'AMMJ01000122']","['NZ_AMMJ00000000.2', 'NZ_AMMJ02000035.1', 'NZ_AMMJ02000034.1', 'NZ_AMMJ02000033.1', 'NZ_AMMJ02000032.1', 'NZ_AMMJ02000031.1', 'NZ_AMMJ02000030.1', 'NZ_AMMJ02000029.1', 'NZ_AMMJ02000028.1', 'NZ_AMMJ02000027.1', 'NZ_AMMJ02000026.1', 'NZ_AMMJ02000025.1', 'NZ_AMMJ02000024.1', 'NZ_AMMJ02000023.1', 'NZ_AMMJ02000022.1', 'NZ_AMMJ02000021.1', 'NZ_AMMJ02000020.1', 'NZ_AMMJ02000019.1', 'NZ_AMMJ02000018.1', 'NZ_AMMJ02000017.1']"
SAMN03003781,['JQJA01000004'],"['NZ_JQJA00000000.1', 'NZ_JQJA01000097.1', 'NZ_JQJA01000096.1', 'NZ_JQJA01000095.1', 'NZ_JQJA01000094.1', 'NZ_JQJA01000093.1', 'NZ_JQJA01000092.1', 'NZ_JQJA01000091.1', 'NZ_JQJA01000090.1', 'NZ_JQJA01000089.1', 'NZ_JQJA01000088.1', 'NZ_JQJA01000087.1', 'NZ_JQJA01000086.1', 'NZ_JQJA01000085.1', 'NZ_JQJA01000084.1', 'NZ_JQJA01000083.1', 'NZ_JQJA01000082.1', 'NZ_JQJA01000081.1', 'NZ_JQJA01000080.1', 'NZ_JQJA01000079.1']"
SAMN02470783,"['AFSV01000014', 'AFSV01000014']","['NZ_AFSV00000000.1', 'NZ_AFSV01000063.1', 'NZ_AFSV01000062.1', 'NZ_AFSV01000061.1', 'NZ_AFSV01000060.1', 'NZ_AFSV01000059.1', 'NZ_AFSV01000058.1', 'NZ_AFSV01000057.1', 'NZ_AFSV01000056.1', 'NZ_AFSV01000055.1', 'NZ_AFSV01000054.1', 'NZ_AFSV01000053.1', 'NZ_AFSV01000052.1', 'NZ_AFSV01000051.1', 'NZ_AFSV01000050.1', 'NZ_AFSV01000049.1', 'NZ_AFSV01000048.1', 'NZ_AFSV01000047.1', 'NZ_AFSV01000046.1', 'NZ_AFSV01000045.1']"
SAMN02597462,['AYYA01000041'],"['NZ_AYYA00000000.1', 'NZ_AYYA01000086.1', 'NZ_AYYA01000085.1', 'NZ_AYYA01000084.1', 'NZ_AYYA01000083.1', 'NZ_AYYA01000082.1', 'NZ_AYYA01000081.1', 'NZ_AYYA01000080.1', 'NZ_AYYA01000079.1', 'NZ_AYYA01000078.1', 'NZ_AYYA01000077.1', 'NZ_AYYA01000076.1', 'NZ_AYYA01000075.1', 'NZ_AYYA01000074.1', 'NZ_AYYA01000073.1', 'NZ_AYYA01000072.1', 'NZ_AYYA01000071.1', 'NZ_AYYA01000070.1', 'NZ_AYYA01000069.1', 'NZ_AYYA01000068.1']"
